부위,운동명
등,와이드 풀다운 머신
등,케틀벨 로우
등,원 암 케이블 랫 풀다운
등,원 암 시티드 로우 머신
등,랫 풀다운 머신
등,라잉 백 익스텐션
등,클로즈 그립 티 바 로우
등,케틀벨 데드리프트
등,언더핸드 바벨 로우
등,언더핸드 스미스 머신 바벨 로우
등,원 암 시티드 케이블 로우
등,패러럴 그립 시티드 케이블 로우
등,와이드 그립 시티드 케이블 로우
등,원 암 케틀벨 로우
등,스탠딩 케이블 로우
등,어시스트 풀 업
등,패러럴 그립 어시스트 풀 업
등,중량 풀 업
등,아처 풀 업
등,밴드 어시스트 풀 업
등,어시스트 친 업
등,중량 친 업
등,밴드 어시스트 친 업
등,패러럴 그립 친 업
등,클로즈 그립 친 업
등,클로즈 그립 케이블 랫 풀다운
등,패러럴 그립 랫 풀다운
등,언더핸드 케이블 랫 풀다운
등,암 풀다운(로프)
등,클로즈 그립 풀 업
등,와이드 그립 풀 업
등,케이블 하이 로우
등,원 암 케이블 하이 로우
등,원 암 풀 업
등,원 암 와이드 풀다운 머신
등,클로즈 그립 랫 풀다운
등,케이블 데드리프트
등,플레이트 백 익스텐션
등,덤벨 백 익스텐션
등,바벨 백 익스텐션
등,케이블 슈러그
등,패러럴 그립 와이드 풀다운 리어머신
등,덤벨 실로우
등,바벨 실로우
등,맥그립 랫 풀다운
등,원 암 하이 로우 머신
등,원 암 로우 로우 머신
등,풀오버 머신
등,리니어 로우 머신(바벨 로우 머신)
등,밴트 오버 로우 머신
등,리버스 펙덱 플라이
등,벤트오버 와이드 덤벨 로우
등,클로즈 맥그립 랫 풀다운
어깨,오버헤드 프레스
어깨,덤벨 숄더 프레스
어깨,덤벨 레터럴 레이즈(사이드 레터럴 레이즈)
어깨,숄더 프레스 머신
어깨,레터럴 레이즈 머신
어깨,시티드 오버헤드 프레스
어깨,덤벨 프론트 레이즈
어깨,바벨 프론트 레이즈
어깨,페이스 풀
어깨,리버스 케이블 플라이
어깨,바벨 슈러그
어깨,펙 덱 리어 델트
어깨,아놀드 프레스
어깨,밴드 오버 레터럴 레이즈
어깨,스미스 머신 오버헤드 프레스
어깨,밴드 프론트 레이즈
어깨,플레이트 프론트 레이즈
어깨,케이블 프론트 레이즈
어깨,밴드 레터럴 레이즈
어깨,케이블 레터럴 레이즈
어깨,케이블 숄더 프레스
어깨,덤벨 슈러그
어깨,바벨 업라이트 로우
어깨,덤벨 업라이트 로우
어깨,스미스 머신 슈러그
어깨,비하인드 넥 프레스
어깨,스미스 머신 비하인드 넥 프레스
어깨,이지바 프론트 레이즈
어깨,벤트 오버 레터럴 레이즈 머신
어깨,원 암 덤벨 숄더프레스
어깨,덤벨 비하인드 넥 프레스
어깨,벤트오버 케이블 레터럴 레이즈
어깨,원 암 케이블 프론트 레이즈
어깨,인클라인 덤벨 리어 레터럴 레이즈
어깨,원 암 덤벨 레터럴 레이즈
어깨,랜드마인 프레스
어깨,원 암 페이스풀
어깨,바이킹 프레스
어깨,케이블 업라이트 로우
